,index,caiop,state,raiop,backers_count,goal,goal_mean,succ_mean,media_goal_regione,score,n_char,n_dot,n_word,n_word_per_sentence,polarity,subjectivity,Value
1979,1979,2.13355180061349,failed,3.73027523926804,0,1200.0,5018.55319148936,33.5783333333333,8134.66153846154,14.6849792744503,103,1,17,17.0,0.638888888888889,0.666666666666667,7.7
1980,1980,1.3034169746572,canceled,3.73027523926804,6,1000.0,11486.2162162162,33.5783333333333,8134.66153846154,155.842519484215,89,1,16,16.0,0.0,0.0,7.7
1981,1981,1.3034169746572,failed,3.73027523926804,5,10000.0,11486.2162162162,33.5783333333333,8134.66153846154,4.05916701893463,62,1,8,8.0,0.1875,0.5,7.7
1982,1982,1.3034169746572,failed,3.73027523926804,2,45000.0,11486.2162162162,33.5783333333333,8134.66153846154,152.840396410386,136,1,18,18.0,0.3754329004329,0.61017316017316,7.7
1983,1983,1.3034169746572,failed,3.73027523926804,6,2000.0,11486.2162162162,33.5783333333333,8134.66153846154,63.0776376330131,118,1,18,18.0,0.316666666666667,0.691666666666667,7.7
1984,1984,1.3401695840397,failed,3.73027523926804,6,10000.0,11184.3650793651,33.7964333333333,8134.66153846154,30.0822517202297,98,1,15,15.0,0.25,0.5,7.7
1985,1985,1.3401695840397,failed,3.73027523926804,0,30000.0,11184.3650793651,33.7964333333333,8134.66153846154,38.4025012622311,119,1,20,20.0,0.0,0.357142857142857,7.7
1986,1986,1.3401695840397,successful,3.73027523926804,23,500.0,11184.3650793651,33.7964333333333,8134.66153846154,18.3359096503762,132,1,23,23.0,0.3125,0.3,7.7
1987,1987,1.3401695840397,failed,3.73027523926804,1,5000.0,11184.3650793651,33.7964333333333,8134.66153846154,36.6139488267284,49,1,8,8.0,0.0,0.3,7.7
1988,1988,2.10285504987634,failed,3.73027523926804,98,3700.0,2318.5,33.7964333333333,8134.66153846154,50.8765394115782,94,1,13,13.0,0.3125,0.875,7.7
1989,1989,2.10285504987634,successful,3.73027523926804,52,1500.0,2318.5,33.7964333333333,8134.66153846154,23.3303198768162,36,2,4,2.0,0.0,0.0,7.7
1990,1990,2.10285504987634,successful,3.73027523926804,224,3800.0,2318.5,33.7964333333333,8134.66153846154,19.3071120197569,122,2,20,10.0,0.0,0.0,7.7
1991,1991,2.10285504987634,failed,3.73027523926804,470,44500.0,2318.5,33.7964333333333,8134.66153846154,19.8589957556438,122,1,21,21.0,0.4375,0.7,7.7
1992,1992,1.06405539100702,failed,3.73027523926804,7,16000.0,2152.0,33.7964333333333,8134.66153846154,22.859243652281,134,1,19,19.0,0.0,0.0,7.7
1993,1993,2.13355180061349,failed,3.73027523926804,1,12000.0,5018.55319148936,33.7964333333333,8134.66153846154,41.3442798495148,76,1,11,11.0,0.4,0.8,7.7
1994,1994,5.70298361464505,failed,3.73027523926804,0,5500.0,11889.0985915493,33.7964333333333,8134.66153846154,-2.38474731940178,129,1,23,23.0,0.05,0.378571428571429,7.7
1995,1995,5.70298361464505,failed,3.73027523926804,5,4000.0,11889.0985915493,33.7964333333333,8134.66153846154,-10.2233990432523,136,1,23,23.0,0.15625,0.55625,7.7
1996,1996,10.0,successful,3.73027523926804,182,4666.0,8135.55405405405,33.7964333333333,8134.66153846154,10.5864668846768,52,1,6,6.0,-0.25,0.511111111111111,7.7
1997,1997,10.0,successful,3.73027523926804,172,2000.0,8135.55405405405,33.7964333333333,8134.66153846154,23.6177876963011,123,1,18,18.0,-0.0892857142857143,0.142857142857143,7.7
1998,1998,1.02461417733412,failed,3.73027523926804,0,87556.0,6509.09090909091,33.7964333333333,8134.66153846154,21.6112753066237,103,1,13,13.0,0.0833333333333333,0.236111111111111,7.7
1999,1999,1.08792011466163,failed,3.73027523926804,0,40000.0,3243.75,33.7964333333333,8134.66153846154,16.2272527820269,130,1,20,20.0,0.4,0.8,7.7
2000,2000,1.08792011466163,failed,3.73027523926804,0,2500.0,3243.75,33.7964333333333,8134.66153846154,25.2948279033753,108,1,15,15.0,0.645833333333333,0.75,7.7
2001,2001,1.3401695840397,failed,3.73027523926804,15,5000.0,11184.3650793651,30.8706,8134.66153846154,41.0323061091974,99,2,16,8.0,0.0,0.0,7.7
2002,2002,2.10285504987634,successful,3.73027523926804,39,1500.0,2318.5,30.8706,8134.66153846154,22.9122430059267,46,1,5,5.0,0.0,0.0,7.7
2003,2003,1.06405539100702,failed,3.73027523926804,2,2500.0,2152.0,30.8706,8134.66153846154,22.7010091404019,136,1,22,22.0,-0.125,0.75,7.7
2004,2004,1.06405539100702,failed,3.73027523926804,3,100.0,2152.0,30.8706,8134.66153846154,38.2262368006403,120,1,19,19.0,0.0,0.0,7.7
2005,2005,10.0,successful,3.73027523926804,53,900.0,8135.55405405405,30.8706,8134.66153846154,2.22063514798023,123,1,19,19.0,-0.0357142857142857,0.371428571428571,7.7
2006,2006,1.3034169746572,failed,3.73027523926804,6,6000.0,11486.2162162162,30.8706,8134.66153846154,28.4587350773298,124,1,21,21.0,0.375,0.875,7.7
2007,2007,1.3034169746572,failed,3.73027523926804,12,80000.0,11486.2162162162,30.8706,8134.66153846154,14.5343394598428,119,2,18,9.0,0.270833333333333,0.583333333333333,7.7
2008,2008,1.3034169746572,failed,3.73027523926804,20,10000.0,11486.2162162162,30.8706,8134.66153846154,54.9238492828521,84,1,14,14.0,-0.125,0.7,7.7
2009,2009,1.02065455954235,failed,3.73027523926804,0,5000.0,3262.5,34.2892,8134.66153846154,0.0,80,1,15,15.0,0.0,0.0,7.7
2010,2010,1.33583216656867,failed,3.73027523926804,3,1500.0,7355.33333333333,34.2892,8134.66153846154,15.6293539220245,61,1,11,11.0,0.0,0.0,7.7
2011,2011,1.33583216656867,failed,3.73027523926804,3,500.0,7355.33333333333,34.2892,8134.66153846154,64.7656563985562,106,2,21,10.5,0.136363636363636,0.454545454545455,7.7
2012,2012,7.08664371402648,failed,3.73027523926804,2,20000.0,9976.87341772152,34.2892,8134.66153846154,7.7345184852405,91,1,12,12.0,0.0,0.0,7.7
2013,2013,1.3401695840397,failed,3.73027523926804,13,180000.0,11184.3650793651,34.2892,8134.66153846154,23.8323500328709,131,2,19,9.5,0.133333333333333,0.519047619047619,7.7
2014,2014,2.10285504987634,successful,3.73027523926804,92,1500.0,2318.5,34.2892,8134.66153846154,44.9153386756344,62,1,5,5.0,0.1,0.25,7.7
2015,2015,5.70298361464505,successful,3.73027523926804,27,10000.0,11889.0985915493,34.2892,8134.66153846154,8.43191700438646,122,1,15,15.0,0.0,0.5,7.7
2016,2016,10.0,successful,3.73027523926804,19,700.0,8135.55405405405,34.2892,8134.66153846154,23.2668508309713,121,2,23,11.5,0.1,0.2,7.7
2017,2017,10.0,successful,3.73027523926804,244,400.0,8135.55405405405,34.2892,8134.66153846154,9.74165476211894,112,1,15,15.0,0.0,0.0,7.7
2018,2018,10.0,successful,3.73027523926804,74,100.0,8135.55405405405,34.2892,8134.66153846154,55.0313257068103,74,1,11,11.0,0.479166666666667,0.483333333333333,7.7
2019,2019,10.0,failed,3.73027523926804,15,3000.0,8135.55405405405,34.2892,8134.66153846154,77.3151117856611,104,2,20,10.0,0.4,0.9,7.7
2020,2020,10.0,successful,3.73027523926804,229,2000.0,8135.55405405405,34.2892,8134.66153846154,3.28597075444677,36,1,4,4.0,0.0,0.0,7.7
2021,2021,10.0,successful,3.73027523926804,60,550.0,8135.55405405405,34.2892,8134.66153846154,0.0,134,1,24,24.0,0.05,0.225,7.7
2022,2022,10.0,successful,3.73027523926804,34,1700.0,8135.55405405405,34.2892,8134.66153846154,121.031877788136,66,1,10,10.0,0.0,0.0,7.7
2023,2023,1.3034169746572,failed,3.73027523926804,6,3000.0,11486.2162162162,34.2892,8134.66153846154,31.6227550504222,130,1,20,20.0,0.212121212121212,0.518181818181818,7.7
2024,2024,1.3401695840397,canceled,3.73027523926804,17,45000.0,11184.3650793651,34.61525,8134.66153846154,74.2336111592615,121,1,16,16.0,0.0,0.15,7.7
2025,2025,1.3401695840397,successful,3.73027523926804,47,1000.0,11184.3650793651,34.61525,8134.66153846154,19.5324570112677,119,1,18,18.0,0.425757575757576,0.33030303030303,7.7
2026,2026,1.3401695840397,failed,3.73027523926804,0,3000.0,11184.3650793651,34.61525,8134.66153846154,65.6251271988055,128,1,22,22.0,0.312121212121212,0.318181818181818,7.7
2027,2027,1.3401695840397,failed,3.73027523926804,13,3500.0,11184.3650793651,34.61525,8134.66153846154,108.018347808098,133,1,20,20.0,0.16,0.54,7.7
2028,2028,1.3401695840397,failed,3.73027523926804,13,5000.0,11184.3650793651,34.61525,8134.66153846154,55.8652426475122,95,1,18,18.0,0.318181818181818,0.627272727272727,7.7
2029,2029,1.3401695840397,successful,3.73027523926804,107,1000.0,11184.3650793651,34.61525,8134.66153846154,18.8978783454822,128,1,19,19.0,0.126262626262626,0.207070707070707,7.7
2030,2030,1.3401695840397,failed,3.73027523926804,16,20000.0,11184.3650793651,34.61525,8134.66153846154,36.6695990039584,135,2,21,10.5,0.3125,0.333333333333333,7.7
2031,2031,1.3401695840397,successful,3.73027523926804,28,200.0,11184.3650793651,34.61525,8134.66153846154,0.0,134,1,23,23.0,0.241666666666667,0.75,7.7
